epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,950.455,0.59993,3.23779,0.20493,0.66907,1.02685,0.7032,0.87219,0.93353,0.84641,0.7032,0.87219,0.93353,0.50875,0.49072,2.47935,0.04446,0.84725,0.9537,0.000907848,0.000907848,0.000907848
48,969.873,0.58957,3.03497,0.21452,0.67617,1.01719,0.80011,0.85227,0.94563,0.84724,0.80011,0.85227,0.90349,0.5593,0.5022,2.2623,0.06663,0.76077,0.93976,0.000891345,0.000891345,0.000891345
49,985.511,0.58927,3.14787,0.20847,0.6485,1.00569,0.83657,0.85948,0.93729,0.85298,0.83657,0.85948,0.93267,0.58373,0.47796,2.11072,0.04163,0.53361,0.93363,0.000874842,0.000874842,0.000874842
50,1006.34,0.60462,3.40489,0.21214,0.70325,1.0173,0.7687,0.91615,0.90064,0.81902,0.74776,0.89343,0.8686,0.53707,0.47919,2.24428,0.04155,0.59553,0.93732,0.000858338,0.000858338,0.000858338
51,1025.46,0.56914,2.98239,0.20056,0.60335,1.00727,0.69811,0.89516,0.88153,0.81222,0.69811,0.89516,0.87045,0.55581,0.46803,2.25202,0.03767,0.64365,0.93874,0.000841835,0.000841835,0.000841835
52,1043.58,0.6087,3.25285,0.21066,0.64022,1.02491,0.79374,0.78739,0.83821,0.74995,0.79374,0.78739,0.79559,0.51088,0.48932,2.26483,0.04444,0.70495,0.93996,0.000825332,0.000825332,0.000825332
53,1064.35,0.60062,3.21804,0.21102,0.60622,1.02536,0.74944,0.8434,0.8553,0.76061,0.79208,0.7933,0.76227,0.46406,0.50445,2.65637,0.03382,0.77296,0.94638,0.000808828,0.000808828,0.000808828
54,1083.66,0.56932,3.00609,0.20209,0.6032,0.9925,0.73384,0.81325,0.82748,0.74581,0.73384,0.81325,0.72207,0.47109,0.4836,2.53732,0.03585,0.85406,0.93552,0.000792325,0.000792325,0.000792325
55,1103.87,0.58877,3.07547,0.20247,0.60324,1.00227,0.73181,0.89643,0.85692,0.77307,0.74212,0.86312,0.82521,0.53632,0.4992,2.2753,0.04437,0.64078,0.93559,0.000775822,0.000775822,0.000775822
56,1120.77,0.58673,2.97666,0.19119,0.5958,1.01612,0.82219,0.86056,0.90387,0.81054,0.82219,0.86056,0.86623,0.56923,0.48752,2.18389,0.03875,0.56417,0.94867,0.000759318,0.000759318,0.000759318
57,1136.35,0.58092,3.11041,0.19173,0.59305,1.00513,0.82392,0.92511,0.93718,0.84822,0.82392,0.92511,0.90654,0.59705,0.49722,2.06119,0.04233,0.50237,0.93784,0.000742815,0.000742815,0.000742815
58,1153.12,0.56691,3.00652,0.1951,0.62241,1.00101,0.72381,0.875,0.91058,0.82922,0.74678,0.79972,0.80878,0.55507,0.47641,2.3312,0.0423,0.92151,0.93213,0.000726312,0.000726312,0.000726312
59,1168.48,0.55067,2.9541,0.19068,0.59998,0.99406,0.81369,0.84797,0.90548,0.82582,0.81369,0.84797,0.85056,0.58585,0.46677,2.19123,0.03196,0.62728,0.92332,0.000709809,0.000709809,0.000709809
60,1186.96,0.54694,3.02742,0.18869,0.5814,0.9885,0.75414,0.88418,0.92285,0.84248,0.86632,0.7873,0.86009,0.59431,0.44838,2.18394,0.03883,0.61395,0.90873,0.000693305,0.000693305,0.000693305
61,1206.69,0.58294,2.94511,0.18611,0.59885,0.99678,0.84008,0.84212,0.89794,0.82382,0.84008,0.84212,0.88457,0.54581,0.45492,2.26624,0.02769,0.55555,0.91484,0.000676802,0.000676802,0.000676802
62,1226.51,0.56709,2.97487,0.18277,0.59453,1.00166,0.82889,0.89437,0.92493,0.84538,0.82889,0.89437,0.91455,0.6215,0.46973,1.93571,0.03753,0.53468,0.92314,0.000660299,0.000660299,0.000660299
63,1246.2,0.55231,2.99071,0.1843,0.58907,0.98697,0.74937,0.96148,0.92769,0.85416,0.80949,0.86988,0.90292,0.6385,0.45339,1.98056,0.06156,0.52628,0.91572,0.000643795,0.000643795,0.000643795
64,1266.02,0.57953,2.87619,0.18642,0.59093,0.99481,0.77244,0.79556,0.85804,0.77606,0.77244,0.79556,0.77915,0.51226,0.48256,2.36447,0.0298,0.89253,0.92025,0.000627292,0.000627292,0.000627292
65,1284.84,0.55094,2.83179,0.18182,0.56551,0.98396,0.82136,0.84746,0.91513,0.81878,0.82136,0.84746,0.89239,0.57999,0.48521,2.16108,0.03246,0.5716,0.92939,0.000610789,0.000610789,0.000610789
66,1308.87,0.55943,3.24321,0.18614,0.58987,1.00285,0.88318,0.87169,0.9445,0.86229,0.88318,0.87169,0.93432,0.65819,0.49381,1.80435,0.02785,0.50166,0.9433,0.000594286,0.000594286,0.000594286
67,1328.66,0.59149,2.99677,0.18542,0.58259,1.00538,0.85325,0.87498,0.91616,0.83776,0.83737,0.86149,0.85033,0.61166,0.4843,2.08314,0.03187,0.64851,0.93445,0.000577782,0.000577782,0.000577782
68,1348.51,0.5374,2.98606,0.18211,0.61524,0.98742,0.82811,0.89283,0.86962,0.78672,0.83675,0.87321,0.81509,0.52122,0.47366,2.27989,0.03138,0.57388,0.93533,0.000561279,0.000561279,0.000561279
69,1368.51,0.54385,2.95814,0.18428,0.57175,0.98313,0.8642,0.84337,0.91677,0.83622,0.8642,0.84337,0.88787,0.61675,0.4898,1.95506,0.02901,0.52011,0.93898,0.000544776,0.000544776,0.000544776
70,1387.99,0.52327,2.7353,0.18205,0.53632,0.98946,0.84422,0.84557,0.94078,0.85915,0.84422,0.84557,0.85995,0.64179,0.46603,2.06976,0.03084,0.69699,0.91992,0.000528272,0.000528272,0.000528272
71,1407.24,0.5288,2.55372,0.17807,0.51936,0.98321,0.82802,0.86803,0.93123,0.8384,0.82802,0.86803,0.86853,0.61086,0.49027,2.10629,0.03007,0.63879,0.92931,0.000511769,0.000511769,0.000511769
72,1426.76,0.53167,2.86917,0.17595,0.53288,0.97743,0.82803,0.88879,0.9187,0.8435,0.82748,0.883,0.86824,0.61339,0.46089,2.03819,0.02678,0.62576,0.92409,0.000495266,0.000495266,0.000495266
73,1443.71,0.52504,2.7371,0.17452,0.52933,0.9765,0.82665,0.91083,0.93169,0.85531,0.84717,0.88843,0.89371,0.63517,0.45116,1.91669,0.028,0.56037,0.92047,0.000478762,0.000478762,0.000478762
